# x_m, y_m, w_tr_right_m, w_tr_left_m
4.35915, -9.27202, 0.75197, 0.55437
4.43982, -9.21297, 0.74424, 0.54604
4.51947, -9.15250, 0.73483, 0.54170
4.59804, -9.09061, 0.72792, 0.54451
4.67548, -9.02727, 0.72581, 0.54740
4.75175, -8.96246, 0.73681, 0.55211
4.82680, -8.89618, 0.75553, 0.55026
4.90058, -8.82839, 0.76487, 0.54386
4.97305, -8.75909, 0.75570, 0.53960
5.04416, -8.68826, 0.73695, 0.53492
5.11385, -8.61588, 0.72299, 0.53784
5.18195, -8.54191, 0.70505, 0.54430
5.24820, -8.46631, 0.70079, 0.55282
5.31236, -8.38902, 0.70216, 0.56272
5.37420, -8.31001, 0.71051, 0.57345
5.43346, -8.22921, 0.71914, 0.58422
5.48990, -8.14659, 0.72021, 0.59403
5.54328, -8.06210, 0.71486, 0.59831
5.59336, -7.97570, 0.69411, 0.60462
5.64004, -7.88740, 0.67847, 0.61083
5.68356, -7.79740, 0.66016, 0.62134
5.72417, -7.70592, 0.64191, 0.63013
5.76214, -7.61315, 0.63389, 0.63967
5.79774, -7.51931, 0.62955, 0.65298
5.83122, -7.42460, 0.62942, 0.66029
5.86285, -7.32924, 0.62789, 0.66245
5.89291, -7.23343, 0.61387, 0.66189
5.92163, -7.13738, 0.60022, 0.65560
5.94929, -7.04127, 0.59751, 0.64487
5.97602, -6.94513, 0.60081, 0.62632
6.00190, -6.84892, 0.60306, 0.61230
6.02702, -6.75258, 0.60019, 0.61667
6.05149, -6.65607, 0.59406, 0.62698
6.07538, -6.55934, 0.59832, 0.62885
6.09879, -6.46235, 0.61464, 0.62489
6.12180, -6.36505, 0.63739, 0.61444
6.14452, -6.26738, 0.66325, 0.59331
6.16702, -6.16931, 0.68046, 0.56816
6.18940, -6.07079, 0.69487, 0.54554
6.21167, -5.97178, 0.70339, 0.52904
6.23326, -5.87237, 0.70573, 0.52011
6.25327, -5.77271, 0.70569, 0.51714
6.27080, -5.67295, 0.70832, 0.51548
6.28495, -5.57324, 0.71795, 0.51306
6.29482, -5.47372, 0.72932, 0.51202
6.29951, -5.37455, 0.73273, 0.51661
6.29812, -5.27588, 0.73174, 0.53273
6.28978, -5.17785, 0.72478, 0.55014
6.27444, -5.08050, 0.71192, 0.56283
6.25314, -4.98374, 0.69672, 0.56963
6.22699, -4.88745, 0.68260, 0.56979
6.19710, -4.79154, 0.66887, 0.56357
6.16459, -4.69589, 0.66891, 0.55729
6.13056, -4.60040, 0.67615, 0.54531
6.09612, -4.50495, 0.68544, 0.52933
6.06239, -4.40946, 0.69406, 0.51946
6.03017, -4.31383, 0.70658, 0.50868
5.99929, -4.21812, 0.72082, 0.49622
5.96941, -4.12238, 0.73534, 0.48297
5.94016, -4.02669, 0.74384, 0.47301
5.91120, -3.93110, 0.74657, 0.47006
5.88216, -3.83568, 0.74220, 0.48377
5.85270, -3.74050, 0.73126, 0.49817
5.82246, -3.64562, 0.71358, 0.51605
5.79108, -3.55110, 0.69927, 0.52149
5.75821, -3.45700, 0.69293, 0.52143
5.72364, -3.36338, 0.69216, 0.52037
