# x_m, y_m, w_tr_right_m, w_tr_left_m
-2.83042, -4.69111, 2.50452, 1.42928
-2.82235, -4.79162, 2.07929, 1.42634
-2.80986, -4.89194, 1.82114, 1.50470
-2.79334, -4.99177, 1.80064, 1.59852
-2.77318, -5.09082, 1.76220, 1.59029
-2.74979, -5.18882, 1.65645, 1.58924
-2.72382, -5.28583, 1.61445, 1.66234
-2.69606, -5.38211, 1.60085, 1.76488
-2.66733, -5.47793, 1.50197, 1.83708
-2.63843, -5.57355, 1.33628, 1.90017
-2.61017, -5.66923, 1.22133, 1.95818
-2.58334, -5.76523, 1.15782, 2.01435
-2.55876, -5.86181, 1.08315, 2.06908
-2.53709, -5.95919, 1.01459, 2.11807
-2.51842, -6.05732, 0.94256, 2.20499
-2.50268, -6.15610, 0.89848, 2.29810
-2.48979, -6.25545, 0.89926, 2.35253
-2.47969, -6.35524, 0.85680, 2.43934
-2.47229, -6.45539, 0.80506, 2.50778
-2.46753, -6.55579, 0.77474, 2.55142
-2.46533, -6.65634, 0.75177, 2.62090
-2.46562, -6.75695, 0.73858, 2.68731
-2.46837, -6.85750, 0.73437, 2.73661
-2.47368, -6.95789, 0.73228, 2.79107
-2.48166, -7.05801, 0.72987, 2.79656
-2.49244, -7.15776, 0.74204, 2.49832
-2.50614, -7.25702, 0.75096, 2.20698
-2.52290, -7.35568, 0.75541, 2.14230
-2.54283, -7.45363, 0.78163, 2.10830
-2.56606, -7.55077, 0.82054, 2.01733
-2.59270, -7.64698, 0.88083, 1.90668
-2.62277, -7.74220, 0.93553, 1.80282
-2.65624, -7.83635, 0.93690, 1.69060
-2.69310, -7.92936, 0.97795, 1.67643
-2.73332, -8.02117, 1.04914, 1.61008
-2.77689, -8.11170, 1.11038, 1.42662
-2.82378, -8.20090, 1.17617, 1.34651
-2.87397, -8.28869, 1.19324, 1.24294
-2.92743, -8.37501, 1.20538, 1.12832
-2.98348, -8.46008, 1.26030, 1.07567
-3.04061, -8.54445, 1.30290, 1.01484
-3.09728, -8.62871, 1.35932, 0.94688
-3.15194, -8.71343, 1.44370, 0.91407
